codigo;tipo_responsavel_movimento
12286;Serventuário - Escrivão
12287;Serventuário - Escrivão
12288;Serventuário - Escrivão
12289;Serventuário - Escrivão
12290;Serventuário - Escrivão
12291;Serventuário - Escrivão
12292;Serventuário - Escrivão
12293;Serventuário - Escrivão
12294;Serventuário - Escrivão
12295;Serventuário - Escrivão
12296;Serventuário - Distribuidor
12297;Serventuário - Distribuidor
12298;Magistrado
12299;Magistrado
12300;Magistrado
12301;Magistrado
12302;Magistrado
12303;Magistrado
12304;Magistrado
12305;Magistrado
12306;Magistrado
12307;Magistrado
12308;Magistrado
12309;Serventuário - Escrivão
12310;Magistrado
12311;Magistrado
12312;Magistrado
12313;Magistrado
12314;Magistrado
12315;Serventuário - Escrivão
12316;Serventuário - Escrivão
12317;Serventuário - Escrivão
12318;Magistrado
12319;Magistrado
12320;Magistrado
12321;Magistrado
12322;Magistrado
12323;Magistrado
12324;Magistrado
12325;Magistrado
12326;Magistrado
12327;Magistrado
12328;Magistrado
12329;Magistrado
12330;Magistrado
12331;Magistrado
12332;Magistrado
12359;Magistrado
12387;Magistrado
12421;Magistrado
12422;Magistrado
12425;Magistrado
12427;Magistrado
12428;Magistrado
12429;Magistrado
12430;Magistrado
12431;Magistrado
12432;Magistrado
12433;Magistrado
12434;Magistrado
12435;Magistrado
12436;Magistrado
12437;Magistrado
12438;Magistrado
12439;Magistrado
12440;Magistrado
12441;Magistrado
12442;Magistrado
12443;Magistrado
12444;Magistrado
12445;Magistrado
12446;Magistrado
12447;Magistrado
12448;Magistrado
12449;Magistrado
12450;Magistrado
12451;Magistrado
12452;Magistrado
12453;Magistrado
12454;Magistrado
12455;Magistrado
12456;Magistrado
12457;Magistrado
12458;Magistrado
12459;Magistrado
12467;Magistrado
12472;Magistrado
12473;Magistrado
12474;Magistrado
12475;Magistrado
12476;Magistrado
12477;Magistrado
12478;Magistrado
12479;Magistrado
12522;Serventuário - Auxiliar da Justiça
12523;Serventuário - Auxiliar da Justiça
12524;Serventuário - Auxiliar da Justiça
12525;Serventuário - Auxiliar da Justiça
12526;Serventuário - Auxiliar da Justiça
12527;Serventuário - Auxiliar da Justiça
12528;Magistrado
12529;Serventuário - Auxiliar da Justiça
12530;Serventuário - Auxiliar da Justiça
12531;Serventuário - Auxiliar da Justiça
12532;Serventuário - Auxiliar da Justiça
12533;Serventuário - Auxiliar da Justiça
12534;Serventuário - Auxiliar da Justiça
12535;Serventuário - Auxiliar da Justiça
12536;Serventuário - Auxiliar da Justiça
12537;Serventuário - Auxiliar da Justiça
12538;Serventuário - Auxiliar da Justiça
12539;Serventuário - Auxiliar da Justiça
12540;Serventuário - Auxiliar da Justiça
12548;Magistrado
12606;Serventuário - Escrivão
12607;Serventuário - Escrivão
12608;Serventuário - Auxiliar da Justiça
12609;Serventuário - Auxiliar da Justiça
12610;Serventuário - Auxiliar da Justiça
12611;Serventuário - Auxiliar da Justiça
12614;Serventuário - Escrivão
12615;Magistrado
12616;Magistrado
12617;Magistrado
12618;Serventuário - Escrivão
12619;Serventuário - Escrivão
12621;Serventuário - Escrivão
12622;Serventuário - Escrivão
12623;Serventuário - Escrivão
12624;Serventuário - Escrivão
12646;Magistrado
12647;Magistrado
12648;Magistrado
12649;Magistrado
12650;Magistrado
12651;Magistrado
12652;Magistrado
12653;Magistrado
12654;Magistrado
12655;Serventuário - Escrivão
12656;Serventuário - Escrivão
12657;Serventuário - Escrivão
12658;Serventuário - Escrivão
12659;Serventuário - Escrivão
12660;Magistrado
12661;Magistrado
12662;Magistrado
12663;Magistrado
12664;Magistrado
12665;Magistrado
12666;Magistrado
12667;Magistrado
12668;Magistrado
12669;Magistrado
12670;Magistrado
12671;Magistrado
12672;Magistrado
12673;Magistrado
12674;Magistrado
12675;Magistrado
12676;Magistrado
12677;Magistrado
12678;Magistrado
12679;Magistrado
12680;Magistrado
12681;Magistrado
12682;Magistrado
12683;Magistrado
12684;Magistrado
12685;Magistrado
12686;Magistrado
12687;Magistrado
12688;Magistrado
12689;Magistrado
12690;Magistrado
12691;Magistrado
12692;Magistrado
12693;Magistrado
12694;Magistrado
12695;Magistrado
12696;Magistrado
12697;Magistrado
12698;Magistrado
12699;Magistrado
12700;Magistrado
12701;Magistrado
12702;Magistrado
12703;Magistrado
12704;Magistrado
12705;Magistrado
12706;Magistrado
12707;Magistrado
12708;Magistrado
12709;Magistrado
12710;Magistrado
12711;Magistrado
12712;Magistrado
12713;Magistrado
12714;Magistrado
12715;Magistrado
12716;Magistrado
12717;Magistrado
12718;Magistrado
12719;Magistrado
12720;Magistrado
12721;Magistrado
12722;Magistrado
12723;Magistrado
12724;Magistrado
12733;Magistrado
12734;Magistrado
12735;Magistrado
12736;Magistrado
12737;Magistrado
12738;Magistrado
12739;Serventuário - Escrivão
12740;Serventuário - Escrivão
12741;Serventuário - Escrivão
12742;Serventuário - Escrivão
12743;Serventuário - Escrivão
12744;Serventuário - Escrivão
12745;Serventuário - Escrivão
12746;Serventuário - Escrivão
12747;Serventuário - Escrivão
12748;Serventuário - Escrivão
12749;Serventuário - Escrivão
12750;Serventuário - Escrivão
12751;Serventuário - Escrivão
12752;Serventuário - Escrivão
12753;Serventuário - Escrivão
12759;Serventuário - Escrivão
12765;Magistrado
12766;Magistrado
12767;Magistrado
12768;Magistrado
12769;Magistrado
12792;Magistrado
